company_name,position_title,skills,min_experience,education,seniority,description_length,skills_count
Confidential,Chief Executive Officer,"[""communication"", ""aws"", ""time management"", ""teamwork"", ""go"", ""medical"", ""leadership"", ""clinical""]",5.0,master,senior,1973,8
On Time Talent Solutions,Chief Executive Officer - Healthcare - Columbus,"[""critical thinking"", ""aws"", ""time management"", ""go"", ""api"", ""creativity"", ""leadership""]",5.0,master,senior,2516,7
Vistage Worldwide,CEO Coach,"[""rest"", ""leadership"", ""rust""]",8.0,,manager,1978,3
HSBC,Assistant Vice President Premier Relationship Manager,"[""excel"", ""teamwork"", ""adaptability"", ""go"", ""rust""]",8.0,,manager,2318,5
Owner Actions,Digital Marketing Specialist,"[""email marketing"", ""git"", ""social media"", ""digital marketing"", ""teamwork"", ""adaptability"", ""go"", ""creativity""]",8.0,,manager,1259,8
OhioHealth,Senior Marketing Specialist,"[""excel"", ""social media"", ""communication"", ""time management"", ""teamwork"", ""attention to detail"", ""adaptability"", ""go"", ""api"", ""creativity"", ""problem solving"", ""leadership""]",5.0,bachelor,senior,3735,12
Express,"Performance Marketing Specialist, Paid Media","[""crm"", ""critical thinking"", ""excel"", ""git"", ""communication"", ""facebook ads"", ""digital marketing"", ""teamwork"", ""attention to detail"", ""time management"", ""go"", ""creativity"", ""leadership""]",3.0,master,mid,4039,13
Dispatch,"Software Engineer - Reno, NV","[""leadership"", ""react"", ""javascript"", ""java"", ""teamwork"", ""rest"", ""go"", ""api"", ""creativity"", ""python""]",5.0,bachelor,senior,3237,10
Epic,Software Engineer,"[""excel"", ""rest"", ""go"", ""api"", ""creativity"", ""medical"", ""leadership""]",5.0,,senior,3436,7
Revature LLC,Entry Level Software Engineer,"[""communication"", ""aws"", ""time management"", ""teamwork"", ""creativity"", ""medical"", ""problem solving""]",1.0,bachelor,junior,3462,7
Light & Wonder,Associate Software Engineering,"[""critical thinking"", ""communication"", ""attention to detail"", ""go"", ""problem solving""]",1.0,bachelor,junior,3951,5
Hughes Private Capital LLC,Software Engineer,"[""critical thinking"", ""time management"", ""teamwork"", ""api"", ""microservices"", ""leadership"", ""docker"", ""java"", ""sql"", ""creativity"", ""spring boot"", ""python"", ""communication"", ""rest"", ""attention to detail"", ""salesforce"", ""rust"", ""javascript"", ""aws"", ""agile"", ""go"", ""spring""]",1.0,bachelor,junior,7661,22
Hired,Software Engineer,"[""angular"", ""azure"", ""docker"", ""git"", ""communication"", ""javascript"", ""java"", ""sql"", ""go"", ""api""]",5.0,,,2181,10
Blockchains,Software Engineer (JavaScript Backend),"[""docker"", ""git"", ""typescript"", ""communication"", ""javascript"", ""java"", ""aws"", ""rest"", ""agile"", ""api"", ""leadership""]",3.0,bachelor,,6958,11
"Vitalwerks Internet Solutions, LLC",Senior Software Engineer,"[""vue"", ""git"", ""sql"", ""agile"", ""creativity"", ""microservices"", ""leadership""]",5.0,master,senior,3167,7
Germer International,Warehouse Manager,"[""communication"", ""sap"", ""time management"", ""teamwork"", ""go"", ""leadership""]",5.0,high school,senior,2964,6
The Coca Cola Company,Warehouse Manager,"[""leadership""]",5.0,,senior,518,1
Coca-Cola Consolidated,Warehouse Manager IV,"[""communication"", ""time management"", ""teamwork"", ""go"", ""medical"", ""budgeting"", ""leadership""]",3.0,bachelor,mid,3827,7
Graham Packaging,Warehouse Manager,"[""excel"", ""leadership"", ""communication"", ""go""]",3.0,bachelor,mid,2719,4
Floor & Decor,Warehouse Supervisor,"[""excel"", ""medical"", ""communication""]",1.0,,junior,5734,3
Norwalk Furniture & Design,Warehouse Manager,"[""time management"", ""excel"", ""communication"", ""adaptability""]",8.0,high school,manager,1494,4
Standlee Premium Western Forage,Warehouse Management Specialist,"[""communication"", ""teamwork"", ""adaptability"", ""go"", ""problem solving"", ""rust""]",8.0,high school,manager,1715,6
Lansing Building Products,"Warehouse Manager - Lexington, KY","[""excel"", ""medical"", ""rest"", ""leadership""]",5.0,,senior,2450,4
AVI Foodsystems,Warehouse Supervisor,"[""leadership"", ""go"", ""rust""]",8.0,,manager,1405,3
NASB Financial Inc.,Bank Teller,"[""excel"", ""communication"", ""time management"", ""go"", ""api"", ""creativity"", ""medical""]",8.0,high school,manager,4623,7
Citizens Bank & Trust,Part-time Bank Teller/Financial Services Representative,"[""excel"", ""communication"", ""adaptability"", ""rust""]",1.0,high school,,1876,4
The Bank of Grain Valley,Bank Teller,"[""excel""]",0.0,,,576,1
Landmark National Bank,Full Time Teller,"[""excel"", ""communication"", ""aws"", ""time management"", ""rest"", ""adaptability"", ""go""]",1.0,,junior,3309,7
Bank Of America,Bank Teller,"[""medical"", ""communication""]",1.0,,,498,2
Central Bank of the Midwest,Seasonal Teller,"[""critical thinking"", ""communication"", ""rest"", ""adaptability"", ""go"", ""creativity"", ""problem solving""]",3.0,high school,mid,2203,7
US Bank,Bank Teller,"[""excel"", ""medical"", ""communication""]",1.0,,,522,3
The Bank of Grain Valley -,Bank Teller,"[""excel""]",0.0,,,721,1
"J.B. Hunt Transport Services, Inc.",Sales Executive,"[""crm"", ""critical thinking"", ""communication"", ""lead generation"", ""go"", ""cold calling"", ""leadership""]",5.0,bachelor,senior,3896,7
FIS,Sales Executive III Client Management,"[""teamwork"", ""medical"", ""creativity"", ""go""]",5.0,bachelor,senior,3467,4
AC Hotel Columbus Downtown,Sales Manager,"[""excel"", ""react"", ""time management"", ""go"", ""medical""]",1.0,,junior,2348,5
SPECTRUM,Account Executive,"[""tax"", ""communication"", ""time management"", ""go"", ""salesforce"", ""leadership""]",5.0,bachelor,senior,3465,6
Johnson & Johnson,"Account Executive - Columbus, OH - AMO Sales and Services, Inc..","[""api"", ""time management"", ""creativity"", ""go"", ""leadership""]",5.0,bachelor,senior,5548,5
Accenture,Workday Sales Director,"[""critical thinking"", ""excel"", ""git"", ""communication"", ""time management"", ""negotiation"", ""rest"", ""go"", ""creativity"", ""leadership""]",5.0,,senior,6936,10
TQL,Account Executive (Inside Sales),"[""negotiation"", ""rest"", ""communication"", ""go""]",12.0,bachelor,executive,1815,4
Spectrum,Business Sales Account Executive,"[""tax"", ""communication"", ""time management"", ""go"", ""leadership""]",5.0,bachelor,senior,3451,5
Dreamory Entertainment Group Sdn Bhd,Full Stack Web Developer,"[""mysql"", ""azure"", ""react"", ""javascript"", ""java"", ""sql"", ""aws"", ""mongodb"", ""go"", ""creativity""]",8.0,bachelor,manager,1149,10
EQUILOGICS,Web Developer,"[""angular"", ""seo"", ""mysql"", ""critical thinking"", ""excel"", ""git"", ""react"", ""typescript"", ""postgresql"", ""java"", ""redis"", ""sql"", ""javascript"", ""teamwork"", ""mongodb"", ""go"", ""creativity"", ""problem solving""]",8.0,bachelor,manager,3099,18
Commerce DotAsia Enterprise Sdn Bhd,Web Developer (Front-End),[],,,,482,0
Publicis Groupe,Front-End Engineer/UI Developer,"[""docker"", ""excel"", ""git"", ""react"", ""typescript"", ""javascript"", ""java"", ""sql"", ""aws"", ""communication"", ""teamwork"", ""agile"", ""go"", ""creativity"", ""leadership""]",5.0,,senior,5340,15
Grand-flo Spritvest Sdn Bhd,Software Engineer (Web),[],,,,475,0
Bright Nexus (M) Sdn Bhd,Web Developer,"[""angular"", ""seo"", ""mysql"", ""critical thinking"", ""git"", ""react"", ""typescript"", ""postgresql"", ""java"", ""redis"", ""sql"", ""javascript"", ""communication"", ""time management"", ""mongodb"", ""go""]",8.0,bachelor,manager,1256,16
MEGASAP,Interns (Web Developers Mobile Developers Game Developers),[],0.0,,intern,179,0
FlexForce Industrial,Supply Chain Analyst,"[""excel"", ""leadership"", ""communication"", ""go""]",5.0,high school,senior,2891,4
OakTree,Supply Chain Analyst IV,"[""critical thinking"", ""excel"", ""sap"", ""negotiation"", ""go""]",5.0,,senior,1239,5
Berryman Chemical Inc.,Supply Chain Analyst,"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""problem solving""]",5.0,,senior,2418,5
Waukesha Pearce Industries,Supply Chain Analyst (ED),"[""time management"", ""excel"", ""communication"", ""go""]",8.0,master,manager,2211,4
Sysco,"Analyst II, Supply Chain - Corporate - US (Open)","[""critical thinking"", ""excel"", ""communication"", ""redis"", ""teamwork"", ""time management"", ""adaptability"", ""go"", ""problem solving"", ""leadership""]",3.0,bachelor,mid,4187,10
Halliburton,Supply Chain Analyst - Senior,"[""critical thinking"", ""sem"", ""creativity"", ""go"", ""leadership""]",5.0,bachelor,senior,2344,5
Texas Children's Hospital,Supply Chain Analyst,"[""critical thinking"", ""patient care"", ""time management"", ""go"", ""medical"", ""leadership""]",5.0,master,senior,4831,6
New Fortress Energy,Supply Chain Analyst,"[""critical thinking"", ""excel"", ""communication"", ""negotiation"", ""go"", ""api"", ""creativity"", ""problem solving"", ""leadership""]",8.0,,manager,3890,9
Shell,Business Analyst- Supply Chain,"[""azure"", ""critical thinking"", ""excel"", ""communication"", ""teamwork"", ""attention to detail"", ""adaptability"", ""agile"", ""go"", ""creativity"", ""problem solving"", ""leadership"", ""rust""]",5.0,bachelor,senior,5263,13
Bloomingdale’s,"Commission Sales Associate - Men's, Full Time - Beverly Center","[""excel"", ""communication"", ""teamwork"", ""rest"", ""adaptability"", ""creativity"", ""medical"", ""leadership""]",1.0,high school,junior,3544,8
BLOOMINGDALE'S,"Commission Sales Associate - Men's, Full Time - Beverly Center","[""excel"", ""communication"", ""adaptability"", ""rest"", ""creativity"", ""medical""]",1.0,high school,junior,2678,6
Grasstik,Commission Sales Associate,[],1.0,,junior,72,0
"Macy's, Inc.","Retail Commission Sales Associate - Fine Jewelry, Del Amo Fashion...","[""go""]",1.0,,junior,296,1
Macy's,"Retail Commission Sales Associate - Fine Jewelry, Northridge...","[""communication"", ""time management"", ""adaptability"", ""go"", ""leadership""]",1.0,high school,junior,5243,5
Neon Pizza,Kitchen prep / cleaning,"[""rest""]",0.0,,,321,1
HAWKINS HOUSE OF BURGERS,Kitchen Cleaner,"[""rest""]",0.0,,,1801,1
Bon Appétit Management Company,Kitchen Cleaner (Utility),"[""oracle"", ""rest"", ""teamwork"", ""go""]",8.0,,manager,1640,4
Motion Picture & Television Fund,Dishwasher/Kitchen Cleaner,"[""communication"", ""time management"", ""rest"", ""go"", ""medical""]",5.0,,senior,1082,5
Los Angeles Airport Marriott,Utility Cleaner - Kitchen ($19.77/hr),"[""creativity"", ""communication"", ""go""]",8.0,,manager,3027,3
Hotel Cleaning Services,"Overnight Janitor - Los Angeles, California","[""time management"", ""rest"", ""communication""]",8.0,high school,manager,4599,3
Dave & Buster's,Dishwasher,"[""rest"", ""communication""]",5.0,,senior,3626,2
Green Guard Services,"Kitchen Exhaust Associate (Commerce, CA)","[""excel"", ""communication"", ""rest"", ""attention to detail"", ""adaptability"", ""go"", ""medical""]",1.0,,junior,3340,7
Michael Page,Senior Software Developer - Up to 160k - 100% Remote,"[""oracle"", ""flask"", ""leadership"", ""javascript"", ""java"", ""time management"", ""adaptability"", ""django"", ""agile"", ""go"", ""spring"", ""python""]",1.0,,junior,1506,12
ManTech,Software Developer - New Graduate,"[""excel"", ""sem"", ""javascript"", ""java"", ""sql"", ""aws"", ""teamwork"", ""time management"", ""agile"", ""go"", ""creativity"", ""leadership""]",1.0,bachelor,junior,5428,12
Transcend,Software Engineer (US-Remote),"[""docker"", ""react"", ""typescript"", ""javascript"", ""java"", ""aws"", ""communication"", ""teamwork"", ""go"", ""salesforce""]",0.0,,intern,3196,10
Alley,Software Developer,"[""git"", ""react"", ""communication"", ""javascript"", ""java"", ""rest"", ""adaptability"", ""agile"", ""go"", ""creativity"", ""medical"", ""problem solving"", ""rust""]",1.0,,junior,4431,13
Remote Team Inc.,Software Developer,"[""vue"", ""git"", ""react"", ""rest"", ""leadership""]",5.0,,senior,1426,5
UNAVAILABLE,Senior Software Developer- Full Stack (Remote),"[""critical thinking"", ""git"", ""communication"", ""time management"", ""teamwork"", ""adaptability"", ""agile"", ""go"", ""creativity"", ""problem solving"", ""leadership""]",5.0,master,senior,5596,11
SOCi,Full Stack Software Engineer,"[""mysql"", ""javascript"", ""java"", ""sql"", ""aws"", ""teamwork"", ""mongodb"", ""go"", ""creativity"", ""microservices"", ""problem solving"", ""leadership""]",5.0,,senior,3345,12
Biofidelity,Software Developer,"[""medical"", ""patient care"", ""leadership"", ""communication"", ""aws"", ""go"", ""api"", ""hipaa"", ""python"", ""clinical""]",5.0,,senior,3079,10
Inspire,Software Engineer (Remote),"[""git"", ""react"", ""sem"", ""postgresql"", ""aws"", ""sql"", ""teamwork"", ""rest"", ""adaptability"", ""go"", ""api"", ""creativity"", ""medical"", ""problem solving""]",1.0,,junior,4889,14
DeMarco Inc,Vice President Operations,"[""tax"", ""communication"", ""time management"", ""attention to detail"", ""rest"", ""leadership""]",3.0,,mid,1325,6
AD   ZipRecruiter,"Bank President Jobs in Columbus, Ohio",[],,,,63,0
Equity Commercial Real Estate Solutions,Senior Vice President of Property Management,"[""critical thinking"", ""communication"", ""time management"", ""teamwork"", ""go"", ""budgeting"", ""leadership"", ""rust""]",5.0,bachelor,senior,3870,8
Fisher Investments,Regional Vice President of Sales,"[""medical"", ""teamwork"", ""go"", ""cold calling"", ""leadership""]",5.0,,senior,2901,5
Aon,"Health Solutions, Vice President Actuary","[""critical thinking"", ""communication"", ""time management"", ""rest"", ""go"", ""api"", ""creativity"", ""leadership""]",1.0,bachelor,junior,3721,8
The Ohio State University,Vice President for Inclusive Excellence,"[""excel"", ""communication"", ""time management"", ""teamwork"", ""rest"", ""go"", ""creativity"", ""leadership"", ""rust""]",5.0,phd,senior,6057,9
HARDI,Marketing Director,"[""critical thinking"", ""excel"", ""git"", ""social media"", ""communication"", ""time management"", ""teamwork"", ""rest"", ""go"", ""creativity"", ""content marketing"", ""leadership""]",3.0,master,mid,3780,12
TEGNA Inc.,Marketing Director,"[""google analytics"", ""git"", ""react"", ""time management"", ""teamwork"", ""go"", ""api"", ""creativity"", ""leadership""]",3.0,bachelor,mid,3528,9
GovCIO,"Director, Audience Marketing","[""google analytics"", ""copywriting"", ""email marketing"", ""git"", ""google ads"", ""social media"", ""communication"", ""time management"", ""lead generation"", ""rest"", ""teamwork"", ""go"", ""creativity"", ""leadership""]",3.0,,mid,2482,14
Job Juncture,"Director, Sales & Marketing","[""account management"", ""critical thinking"", ""communication"", ""api"", ""leadership""]",8.0,,manager,2319,5
Starry,B2B Marketing Manager,"[""critical thinking"", ""communication"", ""time management"", ""teamwork"", ""creativity"", ""go"", ""salesforce"", ""problem solving"", ""leadership""]",5.0,bachelor,senior,2567,9
Aaron's Inc,Sales Manager,"[""communication"", ""sem"", ""time management"", ""adaptability"", ""go"", ""medical"", ""leadership"", ""rust""]",8.0,high school,manager,5625,8
PwC,SAP Alliance Marketing Director,"[""git"", ""communication"", ""digital marketing"", ""redis"", ""rest"", ""time management"", ""go"", ""problem solving"", ""leadership""]",1.0,bachelor,junior,6463,9
"Direct Sales Recruiting, LLC","Marketing Director – E-Learning – Columbus, OH","[""crm"", ""critical thinking"", ""excel"", ""git"", ""time management"", ""teamwork"", ""salesforce"", ""financial analysis"", ""budgeting"", ""leadership""]",8.0,bachelor,manager,2929,10
Insight Global,Enterprise Sales Executive,"[""oracle"", ""sap"", ""sales strategy"", ""go"", ""medical""]",5.0,bachelor,senior,2081,5
Columbus Business First,Multi-Media Advertising Sales Executive,"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""teamwork"", ""adaptability"", ""go"", ""salesforce"", ""medical"", ""rust""]",12.0,bachelor,executive,3656,10
Great Lakes Brewing Company,"Field Sales Representative- Columbus, Ohio","[""excel"", ""communication"", ""time management"", ""adaptability"", ""go""]",8.0,,manager,2405,5
Heartland,"Outside Sales Executive, Remote","[""adaptability"", ""medical"", ""communication""]",3.0,high school,mid,2623,3
Nespresso,Retail Sales Associate,"[""teamwork"", ""adaptability"", ""agile"", ""creativity"", ""leadership""]",1.0,high school,junior,3162,5
H&M,Retail Sales Associate,"[""adaptability"", ""medical"", ""creativity"", ""go""]",1.0,,junior,4464,4
Nike Inc,Retail Sales Associate,"[""excel"", ""communication"", ""adaptability"", ""creativity"", ""go""]",1.0,,junior,4750,5
Gap,Sales Associate - Easton T/C,"[""excel"", ""communication"", ""go"", ""medical"", ""problem solving"", ""leadership""]",1.0,,junior,3513,6
The Tile Shop,Part-Time Sales Associate,"[""time management"", ""excel"", ""communication"", ""go""]",1.0,,junior,1148,4
The Chefs' Warehouse,Selling - Inside Sales Associate,"[""critical thinking"", ""excel"", ""communication"", ""aws"", ""rest"", ""adaptability"", ""go"", ""medical"", ""leadership""]",1.0,high school,junior,4626,9
Lowe's,PT-Sales Associate - ProServices-Flexible,"[""excel"", ""medical"", ""go""]",1.0,,junior,3790,3
Galls LLC,"Retail Sales Associate - Full Time or Part Time (Columbus, Ohio)","[""medical"", ""communication""]",1.0,high school,junior,2854,2
Old Navy,Sales Associate - Sun Center,"[""excel"", ""communication"", ""go"", ""medical"", ""problem solving""]",1.0,,junior,3427,5
PetSmart,Retail Sales Associate,"[""aws"", ""rest"", ""go"", ""leadership"", ""rust""]",1.0,,junior,4000,5
Performance Columbus Auto Group,Business Development Center Representative - Performance Columbus,"[""excel"", ""communication"", ""time management"", ""attention to detail"", ""go"", ""cold calling"", ""leadership""]",2.0,high school,,2092,7
coyote,Business Development Sales Representative - Columbus,"[""git"", ""communication"", ""time management"", ""negotiation"", ""adaptability"", ""attention to detail"", ""go"", ""api"", ""creativity"", ""problem solving""]",8.0,,manager,2898,10
Performance Automotive,Business Development Center Representative - Performance Columbus,"[""excel"", ""communication"", ""time management"", ""attention to detail"", ""go"", ""cold calling"", ""leadership""]",2.0,high school,,2092,7
Performance Columbus,Business Development Center Representative - Performance Cadillac GMC,"[""excel"", ""communication"", ""time management"", ""attention to detail"", ""go"", ""leadership""]",8.0,high school,manager,2366,6
Acadia Healthcare,Business Development Representative,"[""excel"", ""communication"", ""teamwork"", ""api"", ""salesforce"", ""medical"", ""clinical""]",3.0,bachelor,mid,3206,7
Germain of Columbus,Automotive Business Development Center (BDC) Representative,"[""excel"", ""communication"", ""negotiation"", ""go"", ""medical""]",2.0,master,,1956,5
Alberta Health Services,Registered Nurse,"[""critical thinking"", ""excel"", ""patient care"", ""communication"", ""nursing"", ""problem solving"", ""leadership""]",8.0,bachelor,manager,2927,7
"Express Employment Professionals - Red Deer, AB",Bilingual Occupational Registered Nurse,"[""rust"", ""communication"", ""attention to detail"", ""go"", ""api"", ""nursing"", ""clinical""]",2.0,master,,1212,7
Medika North Inc,Registered Nurse (RN),"[""nursing"", ""excel"", ""communication"", ""teamwork"", ""go"", ""cpr"", ""medical""]",2.0,bachelor,,3485,7
Bethany Care Society,Registered Nurse (RN-CA02-007),"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""teamwork"", ""rest"", ""go"", ""cpr"", ""nursing"", ""leadership"", ""clinical""]",2.0,bachelor,,4955,11
Alio Health Services,Registered Nurse,"[""excel"", ""communication"", ""time management"", ""attention to detail"", ""go"", ""cpr"", ""nursing"", ""patient care""]",8.0,,manager,2955,8
AgeCare Ltd.,Registered Nurse Casual Mount Royal,"[""excel"", ""teamwork"", ""go"", ""cpr"", ""nursing"", ""leadership"", ""clinical""]",5.0,master,senior,1776,7
Helix,"Senior Manager, Test","[""leadership"", ""typescript"", ""hipaa"", ""aws"", ""time management"", ""teamwork"", ""adaptability"", ""agile"", ""go"", ""api"", ""creativity"", ""medical"", ""python"", ""clinical""]",5.0,,senior,3667,14
General Entertainment Content,Testing Monitor (DGE) - Part Time (NYC),"[""excel"", ""communication"", ""time management"", ""adaptability"", ""go""]",5.0,,senior,2216,5
Infosys,Firmware Test Engineer,"[""git"", ""agile"", ""creativity"", ""medical"", ""leadership""]",2.0,bachelor,,2269,5
New York State Civil Service,Test Center Monitor,"[""rest"", ""communication"", ""go""]",1.0,high school,,2931,3
Spotify,"Software Engineer, Test, Advertising","[""time management""]",0.0,,,714,1
John Varvatos,Bulk Product Testing Coordinator,"[""excel"", ""communication"", ""go""]",1.0,master,junior,2159,3
Wheels Up Partners LLC,Salesforce.com QA Tester,"[""critical thinking"", ""communication"", ""teamwork"", ""rest"", ""adaptability"", ""agile"", ""creativity"", ""salesforce"", ""leadership""]",8.0,,manager,2670,9
"Technogen, Inc",Test Developer,"[""docker"", ""kubernetes"", ""excel"", ""git"", ""typescript"", ""aws"", ""redis"", ""sql"", ""rest"", ""teamwork"", ""agile"", ""go"", ""api"", ""microservices"", ""leadership""]",5.0,,senior,1995,15
"CGI Technologies and Solutions, Inc.",Program Compliance Manager,"[""critical thinking"", ""git"", ""communication"", ""sem"", ""teamwork"", ""rest"", ""go"", ""medical"", ""rust""]",5.0,bachelor,senior,9685,9
"CGI Group, Inc.",Program Compliance Manager - Remote,"[""critical thinking"", ""git"", ""communication"", ""teamwork"", ""rest"", ""go"", ""medical""]",5.0,bachelor,senior,9169,7
Meta,"Governance, Risk & Compliance Program Manager","[""critical thinking"", ""social media"", ""hipaa"", ""communication"", ""time management"", ""attention to detail"", ""go"", ""creativity"", ""medical"", ""problem solving"", ""leadership""]",8.0,,manager,4358,11
Prime Therapeutics,Compliance Manager,"[""critical thinking"", ""communication"", ""aws"", ""time management"", ""rest"", ""go"", ""problem solving"", ""leadership""]",5.0,bachelor,senior,6108,8
"Anthem, Inc",Compliance Director,"[""excel"", ""communication"", ""aws"", ""time management"", ""attention to detail"", ""go"", ""medical"", ""problem solving"", ""leadership""]",5.0,,senior,3882,9
EXPRESS,Sr analyst compliance,"[""auditing"", ""critical thinking"", ""excel"", ""communication"", ""aws"", ""time management"", ""negotiation"", ""teamwork"", ""go"", ""cpr"", ""leadership""]",5.0,master,senior,4571,11
martinwolf | M&A Advisors,Marketing Manager,"[""crm"", ""critical thinking"", ""excel"", ""git"", ""social media"", ""communication"", ""digital marketing"", ""creativity"", ""api"", ""leadership""]",5.0,master,senior,3266,10
COLLEGE NOW GREATER CLEVELAND,College and Career Advisor - Cuyahoga County,"[""excel"", ""communication"", ""teamwork"", ""rest"", ""go"", ""leadership""]",5.0,bachelor,senior,4368,6
H.O.P.E. Works,Job Coach,"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""go""]",5.0,high school,senior,2036,5
Youth Opportunities Unlimited,Career Specialist Instructor,"[""critical thinking"", ""excel"", ""time management"", ""go"", ""api"", ""creativity"", ""medical"", ""leadership""]",5.0,bachelor,senior,6626,8
Franchise Career Advisor,Digital Marketing Sales - Own the Territory – Run the Show,"[""sem""]",0.0,,,1010,1
Grant Thornton LLP (US),Advisory Strategic Resource Manager,"[""crm"", ""critical thinking"", ""excel"", ""communication"", ""aws"", ""redis"", ""time management"", ""adaptability"", ""go"", ""creativity"", ""medical"", ""problem solving"", ""leadership"", ""rust""]",5.0,bachelor,senior,8424,14
OHM Advisors,Water Resources Project Manager,"[""critical thinking"", ""excel"", ""leadership"", ""communication"", ""time management"", ""teamwork"", ""rest"", ""adaptability"", ""go"", ""api"", ""creativity"", ""problem solving"", ""rust""]",5.0,master,senior,5845,13
State of Ohio,Criminal Investigator 2,"[""communication"", ""aws"", ""time management"", ""teamwork"", ""go"", ""creativity"", ""medical""]",5.0,bachelor,senior,6486,7
"Department of Administrative Services, State of Ohio",Criminal Investigator,"[""communication"", ""aws"", ""time management"", ""teamwork"", ""creativity"", ""medical""]",5.0,bachelor,senior,4404,6
Vcheck Global,Public investigator,"[""critical thinking"", ""excel"", ""social media"", ""communication"", ""teamwork"", ""rest"", ""adaptability"", ""go""]",2.0,master,,3085,8
Talentify,Organized Retail Crime Investigator- Virtual- Columbus,"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""teamwork"", ""rest"", ""creativity"", ""problem solving"", ""leadership"", ""rust""]",8.0,high school,manager,5919,10
Allied Universal,Private Investigator,"[""excel"", ""communication"", ""teamwork"", ""go"", ""medical"", ""leadership""]",5.0,bachelor,senior,3997,6
"DigiStream Detroit, Inc.",Entry Level Surveillance Investigator,"[""communication"", ""sem"", ""go"", ""api"", ""leadership""]",1.0,high school,junior,3238,5
My Justice Career,Criminal justice,"[""rest"", ""adaptability""]",1.0,high school,,1732,2
Allied Universal® Compliance and Investigations,Surveillance Investigator,"[""leadership"", ""go""]",1.0,bachelor,,2856,2
Equifax,Claims Investigator,"[""critical thinking"", ""excel"", ""aws""]",3.0,,,1428,3
